deviceId,water_temp,air_temp,ph,timestamp,month,day,hours
esp8266_C5CBC1,25.88,20.88,5.973344,2019-05-23 02:39:18.42 UTC,5,23,2
esp8266_C5CBC1,25.81,20.88,5.915594,2019-05-23 02:39:23.412 UTC,5,23,2
esp8266_C5CBC1,25.75,20.88,5.88475,2019-05-23 02:39:28.405 UTC,5,23,2
esp8266_C5CBC1,25.94,20.88,5.764656,2019-05-23 02:39:33.409 UTC,5,23,2
esp8266_C5CBC1,25.88,20.94,5.987781,2019-05-23 02:39:38.404 UTC,5,23,2
esp8266_C5CBC1,25.88,20.88,5.941844,2019-05-23 02:39:43.407 UTC,5,23,2
esp8266_C5CBC1,25.88,20.88,5.817156,2019-05-23 02:39:48.415 UTC,5,23,2
esp8266_C5CBC1,25.88,20.94,5.799438,2019-05-23 02:39:53.422 UTC,5,23,2
esp8266_C5CBC1,25.88,20.94,5.876219,2019-05-23 02:39:58.414 UTC,5,23,2
esp8266_C5CBC1,25.94,20.94,5.9425,2019-05-23 02:40:03.414 UTC,5,23,2
esp8266_C5CBC1,25.94,20.94,5.830938,2019-05-23 02:40:08.423 UTC,5,23,2
esp8266_C5CBC1,25.88,20.94,5.929375,2019-05-23 02:40:13.41 UTC,5,23,2
esp8266_C5CBC1,25.94,20.94,5.893938,2019-05-23 02:40:18.426 UTC,5,23,2
esp8266_C5CBC1,25.81,20.94,5.825687,2019-05-23 02:40:23.409 UTC,5,23,2
esp8266_C5CBC1,25.94,20.94,5.809281,2019-05-23 02:40:28.416 UTC,5,23,2
esp8266_C5CBC1,25.81,20.94,5.916906,2019-05-23 02:40:33.405 UTC,5,23,2
esp8266_C5CBC1,25.81,20.94,6.039625,2019-05-23 02:40:38.427 UTC,5,23,2
esp8266_C5CBC1,25.88,20.94,5.976625,2019-05-23 02:40:43.417 UTC,5,23,2
esp8266_C5CBC1,25.88,20.88,5.747594,2019-05-23 02:40:48.415 UTC,5,23,2
esp8266_C5CBC1,25.81,20.94,5.828969,2019-05-23 02:40:53.407 UTC,5,23,2
esp8266_C5CBC1,25.75,20.94,5.943813,2019-05-23 02:40:58.407 UTC,5,23,2
esp8266_C5CBC1,25.81,20.94,5.956281,2019-05-23 02:41:03.417 UTC,5,23,2
esp8266_C5CBC1,25.94,20.94,5.855219,2019-05-23 02:41:08.404 UTC,5,23,2
esp8266_C5CBC1,25.88,20.94,5.77975,2019-05-23 02:41:13.423 UTC,5,23,2
esp8266_C5CBC1,25.88,20.94,5.802062,2019-05-23 02:41:18.409 UTC,5,23,2
esp8266_C5CBC1,25.75,20.94,5.893938,2019-05-23 02:41:23.415 UTC,5,23,2
esp8266_C5CBC1,25.81,20.94,5.995656,2019-05-23 02:41:28.404 UTC,5,23,2
esp8266_C5CBC1,25.81,20.94,5.952344,2019-05-23 02:41:33.408 UTC,5,23,2
esp8266_C5CBC1,25.88,20.94,5.862437,2019-05-23 02:41:38.411 UTC,5,23,2
esp8266_C5CBC1,25.75,20.94,5.928063,2019-05-23 02:41:43.409 UTC,5,23,2
esp8266_C5CBC1,25.81,20.94,5.970063,2019-05-23 02:41:48.416 UTC,5,23,2
esp8266_C5CBC1,25.88,20.94,6.038313,2019-05-23 02:41:53.417 UTC,5,23,2
esp8266_C5CBC1,25.81,20.94,5.801406,2019-05-23 02:41:58.412 UTC,5,23,2
esp8266_C5CBC1,25.94,20.94,5.803375,2019-05-23 02:42:03.415 UTC,5,23,2
esp8266_C5CBC1,25.88,20.94,5.893281,2019-05-23 02:42:08.411 UTC,5,23,2
esp8266_C5CBC1,25.88,20.88,5.998281,2019-05-23 02:42:13.415 UTC,5,23,2
esp8266_C5CBC1,25.94,20.94,5.973344,2019-05-23 02:42:18.404 UTC,5,23,2
esp8266_C5CBC1,25.94,20.94,5.883438,2019-05-23 02:42:23.415 UTC,5,23,2
esp8266_C5CBC1,25.81,20.94,5.789594,2019-05-23 02:42:28.404 UTC,5,23,2
esp8266_C5CBC1,25.88,20.94,5.842094,2019-05-23 02:42:33.418 UTC,5,23,2
esp8266_C5CBC1,25.88,20.94,5.951031,2019-05-23 02:42:38.412 UTC,5,23,2
esp8266_C5CBC1,25.75,20.94,5.830938,2019-05-23 02:42:43.46 UTC,5,23,2
esp8266_C5CBC1,25.88,20.94,5.893938,2019-05-23 02:42:48.41 UTC,5,23,2
esp8266_C5CBC1,25.88,20.94,6.002875,2019-05-23 02:42:53.413 UTC,5,23,2
esp8266_C5CBC1,25.75,20.94,6.079656,2019-05-23 02:42:58.412 UTC,5,23,2
esp8266_C5CBC1,25.88,20.94,6.051437,2019-05-23 02:43:03.419 UTC,5,23,2
esp8266_C5CBC1,25.88,20.94,5.970719,2019-05-23 02:43:08.416 UTC,5,23,2
esp8266_C5CBC1,25.81,20.94,5.918219,2019-05-23 02:43:13.411 UTC,5,23,2
esp8266_C5CBC1,25.88,20.94,5.884094,2019-05-23 02:43:18.437 UTC,5,23,2
